method,scope,samples,mask_psnr,mask_psnr_infinite_samples,mask_ssim,mask_lpips,mask_dists,mask_vfid,mask_twe_pred,mask_twe_gt,mask_twe_gap,mask_tc,mask_flow_mean,mask_flow_var,runtime_setting,speed_samples,seconds_per_frame,throughput_fps
CLEAR,standard_subtitle,232,17.979479843502098,0,0.5725644382969625,0.219190159123756,0.1567023545257258,,10.60124827053603,10.986937228236652,0.38568895770062284,8.429750386022208,0.8794438694983315,1.9751214894315314,,,,
CLEAR,artistic_title,218,8.670651322880458,0,0.28775373536078785,0.5548411076227054,0.32760933604100273,,7.869972236050577,10.935693536919272,3.065721300868695,22.256842865959573,1.4621655488822893,4.558914796024216,,,,
CLEAR,moving_text,232,16.278578710336,1,0.5193873731481415,0.18901736613698905,0.14513564028503986,,20.319400414763837,10.209265652810522,10.110134761953315,15.215432202232133,1.0299892270524282,2.558912688640598,,,,
CLEAR,vertical_text,215,13.10398231861148,0,0.33238691362212364,0.5796227794438458,0.38358471587267073,,8.74871308266624,8.97096189669788,0.22224881403163899,14.353269233851105,1.0182529199201096,4.6862925650483405,,,,
CLEAR,non_bottom_layout,223,17.762807289760275,0,0.5941460929727238,0.32643527498772995,0.22822934569623562,,9.198364122492746,9.4904161688348,0.29205204634205373,7.32226325146863,0.7060076115179322,1.7734007065162387,,,,
CLEAR,multi_region,225,15.809061356820639,0,0.5273291342298879,0.15058185045152356,0.10173554403778262,,9.372328569546072,9.98212413585491,0.6097955663088381,9.022378975352993,0.8853078248111361,1.954578274566941,,,,
CLEAR,persistent_watermark,218,20.959188314621816,0,0.7017032336200247,0.2885859668657003,0.18353077365569234,,6.736771928271152,6.1178469709736865,0.6189249572974651,3.599993707679486,0.5503055721242683,3.2242449351964826,,,,
CLEAR,asr_subtitle,68,20.502483516446887,0,0.7637543197825506,0.1992358957712685,0.20966039523064622,,4.384479804648924,4.1069581649770495,0.2775216396718747,1.6504484792627399,0.18931527771808881,0.043448900229883174,,,,
ProPainter,overall,1631,25.899563337058094,15,0.7832423473742192,0.11663446070531122,0.09573494634172008,0.38793001592435417,8.142755900437518,9.322845860422811,1.1800899599852936,4.034949906537105,0.6495947159650125,1.5600780666861602,Official inference,1631,0.6611981507752235,1.5124059237424476
ProPainter,standard_subtitle,232,25.16946717050796,1,0.7668380277865982,0.08897498724111708,0.07776825183128826,,9.57201021541043,10.986937228236652,1.4149270128262224,4.711757687126253,0.7237445696132334,1.3738515706859407,,,,
ProPainter,artistic_title,218,19.19885992246518,0,0.6638618468593426,0.2766354793195163,0.17072115086634224,,8.52338042266688,10.935693536919272,2.4123131142523917,5.513471247853115,1.330316697611197,3.4089503039274613,,,,
ProPainter,moving_text,232,27.611252362602155,4,0.8158130627273724,0.05773797558282581,0.056931637885664,,9.286275825216864,10.209265652810522,0.9229898275936588,4.09244580592353,0.48941500288469025,0.9404609893915672,,,,
ProPainter,vertical_text,215,26.924793143068886,3,0.7975494679676223,0.175606008495433,0.14320563497950448,,8.004319501538314,8.97096189669788,0.9666423951595657,3.973986994157995,0.6115668233326993,1.8939123906223259,,,,
ProPainter,non_bottom_layout,223,24.83514421512631,2,0.7627000994899185,0.14619735833965128,0.12687236568955446,,8.255160797927234,9.4904161688348,1.2352553709075664,3.7674521866163033,0.5842209399935697,1.3703915449016009,,,,
ProPainter,multi_region,225,23.480395079974855,2,0.7633600889805714,0.04527151055564209,0.04494414482305402,,8.729031819418832,9.98212413585491,1.2530923164360779,4.289715961400901,0.6818644571976558,1.2680565750104507,,,,
ProPainter,persistent_watermark,218,33.08881251899339,3,0.8858357276786255,0.05655274578284578,0.054288723360359344,,5.883236497634431,6.1178469709736865,0.23461047333925578,2.763899407985829,0.28037339727151006,1.2114133599739292,,,,
ProPainter,asr_subtitle,68,29.588009150534557,0,0.8698215661605004,0.044337828700192795,0.09774983578000483,,3.517769315068032,4.1069581649770495,0.5891888499090174,1.091561051867214,0.17232177544732263,0.03274009150638707,,,,
MiniMax-Remover,overall,1631,26.166693571931372,4,0.8043991449307762,0.0977327727180479,0.08563071293027949,0.2806043804358218,8.709520597962637,9.322845860422811,0.6133252624601742,4.558617080631854,0.7990736252363718,2.3071969308722893,Official inference,1631,0.47951957179089105,2.0854206143562375
MiniMax-Remover,standard_subtitle,232,24.917710518350955,0,0.7751933563966884,0.08379011311338515,0.0755387118115254,,10.390968947812615,10.986937228236652,0.5959682804240369,5.709230096621668,0.9775848450166535,2.1627042026555725,,,,
MiniMax-Remover,artistic_title,218,22.15625114335713,1,0.7394617658742899,0.16769351943811361,0.11487384098466465,,9.190345149072321,10.935693536919272,1.745348387846951,5.278791556838093,1.2089783805631424,3.52699215533094,,,,
MiniMax-Remover,moving_text,232,27.157708025577463,0,0.8194048470335588,0.05176287943430704,0.055557609906611044,,9.811507026376965,10.209265652810522,0.3977586264335571,4.841693369793434,0.7070183331060937,1.8152292312004483,,,,
MiniMax-Remover,vertical_text,215,27.62606876783675,1,0.8274552013969906,0.16041239464478618,0.1327982539772114,,8.437460646650852,8.97096189669788,0.5335012500470278,4.495807129251089,0.7780773865855668,2.9458559040814833,,,,
MiniMax-Remover,non_bottom_layout,223,25.314410071408084,1,0.7909175349537175,0.1195135480045657,0.11371164590210021,,9.06773037298327,9.4904161688348,0.42268579585153,4.408709382398263,0.7234670002522531,1.8448408452157683,,,,
MiniMax-Remover,multi_region,225,24.13855850162917,1,0.7914983974301456,0.03612137244204697,0.03720773392434896,,9.555166676606511,9.98212413585491,0.4269574592483991,5.020876368703972,0.8663571517346034,1.8281564207457819,,,,
MiniMax-Remover,persistent_watermark,218,30.356610069167015,0,0.8570138721146277,0.09294002694368912,0.07676083302495162,,5.885394267736107,6.1178469709736865,0.2324527032375796,3.114533877070309,0.5118614482727232,2.7991556411587872,,,,
MiniMax-Remover,asr_subtitle,68,31.28310278852135,0,0.9063516924688219,0.027474265701923878,0.07635184474021355,,3.6128244405760843,4.1069581649770495,0.49413372440096515,1.1486376718827513,0.20246947702045867,0.07299552110161045,,,,
DiffuEraser,overall,1631,24.84324766577343,16,0.7722684128045947,0.11302999173384552,0.0952471669174427,0.3285125999059133,10.185295730631026,9.322845860422811,0.8624498702082146,5.32399611472449,0.6689866338308368,1.9384558023296403,Official inference,1631,2.9537364156930392,0.33855424427415226
DiffuEraser,standard_subtitle,232,24.16708159745139,1,0.7501082002430007,0.08992287811982175,0.07832163845065297,,12.010084076495085,10.986937228236652,1.023146848258433,6.300677018970579,0.7743007770142372,2.1066702441544747,,,,
DiffuEraser,artistic_title,218,19.732300002001548,2,0.6902698357172132,0.2077980820195865,0.13734169062853588,,10.837076280833452,10.935693536919272,0.09861725608582006,6.428491734628874,1.2087576558456066,3.5360045376097182,,,,
DiffuEraser,moving_text,232,25.97350683810237,3,0.7890301484690077,0.05660555702822438,0.059189327360325734,,11.396502855037305,10.209265652810522,1.1872372022267825,5.566516027547366,0.5315788667546355,1.2056334946912866,,,,
DiffuEraser,vertical_text,215,26.553400935506513,4,0.8023120869308786,0.17562151122758082,0.14297548467165802,,10.006373520603065,8.97096189669788,1.0354116239051852,5.258842890587813,0.6151012996978881,2.000359689888428,,,,
DiffuEraser,non_bottom_layout,223,24.224019982193592,2,0.7581910682562393,0.1356273733426909,0.12292533275558086,,10.42118854325962,9.4904161688348,0.9307723744248193,5.11789789896546,0.5772564439729971,1.40510010270982,,,,
DiffuEraser,multi_region,225,23.095659786465625,2,0.7613065271659631,0.041055465600220345,0.04007372942145013,,10.87516630214555,9.98212413585491,0.8930421662906394,5.641249597918646,0.7127061069075225,1.457199230375722,,,,
DiffuEraser,persistent_watermark,218,29.23221906494392,2,0.8328228318301493,0.11137265595472848,0.08883210075564531,,7.171489823533282,6.1178469709736865,1.0536428525595953,3.901776969243149,0.4126272030451359,2.517418146227637,,,,
DiffuEraser,asr_subtitle,68,28.06429119100968,0,0.8468795196200152,0.05201602581992894,0.10251516358416461,,4.909029231359353,4.1069581649770495,0.8020710663823039,2.015098329441272,0.19643209838702655,0.03288703008887997,,,,
